t,x1,x2,x3,x4
0,0.248357077,-0.189793268,-1.853541903,0.125295776
0.101010101,0.03170627,0.936418433,-0.781339274,0.717308462
0.202020202,0.524493126,-0.097354759,-1.097664656,0.492555612
0.303030303,1.059928733,-0.719423427,-1.196099611,1.146429903
0.404040404,0.276059925,0.122685397,-0.495572478,0.515543911
0.505050505,0.366783162,-0.994086017,-0.221512997,0.233769801
0.606060606,1.359240515,-0.370398313,-0.199461455,1.633529831
0.707070707,1.033326878,-1.540990499,-1.006018743,0.739418968
0.808080808,0.488225369,-1.305853162,-0.656346557,0.828984159
0.909090909,1.060225485,-0.617391881,-0.246324115,0.017652137
1.01010101,0.615176717,-0.413354213,0.169800901,0.385198884
1.111111111,0.663327324,-0.75569038,-0.460333093,0.63351388
1.212121212,1.057343861,-0.949408399,-0.214099409,-0.082674746
1.313131313,0.0103475,-1.083256703,-0.573725083,0.5904165
1.414141414,0.125295776,-1.703578112,-0.517739012,0.007889673
1.515151515,0.717308462,-1.346020879,0.586729844,0.064861673
1.616161616,0.492555612,-1.228147163,0.956849833,-0.189793268
1.717171717,1.146429903,-0.470823445,0.33814617,0.936418433
1.818181818,0.515543911,-0.818944098,0.967524856,-0.097354759
1.919191919,0.233769801,-1.853541903,0.733435483,-0.719423427
2.02020202,1.633529831,-0.781339274,0.311283071,0.122685397
2.121212121,0.739418968,-1.097664656,0.8893046,-0.994086017
2.222222222,0.828984159,-1.196099611,1.545165132,-0.370398313
2.323232323,0.017652137,-0.495572478,0.817861552,-1.540990499
2.424242424,0.385198884,-0.221512997,1.66920393,-1.305853162
2.525252525,0.63351388,-0.199461455,-0.380924123,-0.617391881
2.626262626,-0.082674746,-1.006018743,1.372495966,-0.413354213
2.727272727,0.5904165,-0.656346557,1.027862192,-0.75569038
2.828282828,0.007889673,-0.246324115,0.847594216,-0.949408399
2.929292929,0.064861673,0.169800901,1.045572729,-1.083256703
3.03030303,-0.189793268,-0.460333093,-0.001688898,-1.703578112
3.131313131,0.936418433,-0.214099409,0.864549046,-1.346020879
3.232323232,-0.097354759,-0.573725083,1.125297466,-1.228147163
3.333333333,-0.719423427,-0.517739012,1.648392966,-0.470823445
3.434343434,0.122685397,0.586729844,0.60374437,-0.818944098
3.535353535,-0.994086017,0.956849833,0.403269703,-1.853541903
3.636363636,-0.370398313,0.33814617,0.493042886,-0.781339274
3.737373737,-1.540990499,0.967524856,1.130443562,-1.097664656
3.838383838,-1.305853162,0.733435483,0.759080969,-1.196099611
3.939393939,-0.617391881,0.311283071,0.245725577,-0.495572478
4.04040404,-0.413354213,0.8893046,0.677934357,-0.221512997
